"","Version","SystemRequirements"
"cuml4r","0.1.0","RAPIDS cuML (see https://rapids.ai/start.html)"
"curl","4.3.2","libcurl: libcurl-devel (rpm) or
libcurl4-openssl-dev (deb)."
"curveDepth","0.1.0.9","C++11"
"cusum","0.4.1","C++11"
"cycleRtools","1.1.1","Java (>= 1.5)"
"DA","1.2.0","GNU make"
"DALY","1.5.0","Tcl/Tk (>= 8.5), Tktable (>= 2.9)"
"data.table","1.14.2","zlib"
"DatabaseConnector","4.0.2","Java version 8 or higher (https://www.java.com/)"
"DatabionicSwarm","1.1.5","C++11"
"DataExplorer","0.8.2","pandoc (>= 1.12.3) - http://pandoc.org"
"dataframes2xls","0.4.7","python (>= 2.4)"
"dataMaid","1.4.1","pandoc (>= 2.0; https://pandoc.org), git, whoami"
"DataPackageR","0.15.8","pandoc (>= 1.12.3) - http://pandoc.org"
"datasailr","0.8.9","GNU make, C++11"
"datastructures","0.2.9","C++11"
"DataVisualizations","1.2.2","C++11"
"datr","0.1.0","dat (>= 13.10.0)"
"dbmss","2.7-7","pandoc, GNU make"
"dbscan","1.1-8","C++11"
"dccvalidator","0.3.0","synapseclient (pypi.org/project/synapseclient)"
"dclone","2.3-0","none, one or more of JAGS (>= 3.0.0), WinBUGS (>=
1.4), OpenBUGS (>= 3.2.2), Stan"
"dcmle","0.3-1","JAGS (>= 3.0.0)"
"DCPO","0.5.3","GNU make"
"ddalpha","1.3.11","C++11"
"DDRTree","0.1.5","C++11"
"decido","0.3.0","C++11"
"Deducer","0.7-9","Java (>= 1.4), JRI"
"DeducerSpatial","0.7","Java (>= 1.5), JRI"
"DeducerText","0.1-2","Java (>= 1.5), JRI"
"DeLorean","1.5.0","GNU make"
"densEstBayes","1.0-2","GNU make"
"DepthProc","2.1.3","C++11"
"DescTools","0.99.43","C++11"
"DesignCTPB","1.1.3","OpenSSL(>= 1.0.1), NVIDIA CUDA GPU with compute
capability 3.0 or above and NVIDIA CUDA Toolkit 9.0 or above"
"designmatch","0.3.1","GLPK library package (e.g., libglpk-dev on
Debian/Ubuntu)"
"DetR","0.0.5","C++11"
"detrendr","0.6.14","GNU make"
"devEMF","4.0-2","FreeType, Xft, or zlib (only needed for platforms
other than OSX and Windows)"
"dfmeta","1.0.0","C++11"
"dfped","1.1","C++11"
"dfpk","3.5.1","GNU make"
"dialectR","1.0","C++11"
"dialr","0.4.0","java (>= 1.6)"
"dialrjars","8.12.29","java (>= 1.6)"
"diffeqr","1.1.1","Julia (>= 1.5), DifferentialEquations.jl,
ModelingToolkit.jl"
"diffusr","0.1.4","C++11"
"digitalDLSorteR","0.1.1","Python (>= 2.7.0), TensorFlow
(https://www.tensorflow.org/)"
"disaggregation","0.1.3","GNU make"
"disclapmix","1.7.3","C++11"
"discretecdAlgorithm","0.0.7","C++11"
"diseq","0.3.1","C++11"
"diskImageR","1.0.0","ImageJ (all OS), Xcode (Mac)"
"dismo","1.3-5","Java (>= 8)"
"distr6","1.6.2","C++11"
"diversitree","0.9-16","fftw3 (>= 3.1.2), gsl (>= 1.15)"
"diversityForest","0.3.1","C++11"
"DIZutils","0.0.8","libpq >= 9.0: libpq-dev (deb) or postgresql-devel
(rpm)"
"DNAtools","0.2-3","C++11, GNU make"
"docknitr","1.0.1","Docker, RStudio>=1.2"
"doconv","0.1.3","LibreOffice, Microsoft Word"
"docxtractr","0.6.5","LibreOffice (<https://www.libreoffice.org/>)
required to extract data from .doc files or perform .pptx
conversion."
"dodgr","0.2.12","C++11, GNU make"
"domino","0.3.1","domino (~>1.7.1)"
"dosearch","1.0.8","C++11"
"downscaledl","1.0","C++11"
"drf","1.1.0","GNU make"
"dsmisc","0.3.3","C++11"
"DtD","0.2.2","C++11"
"dti","1.5.1","gsl"
"dtwclust","5.5.6","C++11, GNU make"
"duckdb","0.3.0","C++11, GCC on Solaris"
"dynamichazard","1.0.1","C++11"
"DynareR","0.1.1","Dynare (>= 4.6.1), Octave (=5.2.0)"
"dynaSpec","1.0.1","ffmpeg"
"dynBiplotGUI","1.1.6","gmake"
"DynComm","2020.1.6","C++11"
"dynr","0.1.16-2","GNU make"
"eaf","2.2","GNU make, Gnu Scientific Library"
"earthtide","0.0.11","C++11"
"easyNCDF","0.1.0","netcdf development libraries"
"ech","0.1.1.2","'unrar' (Linux/macOS) or '7-Zip' (Windows) to work
with '.rar' files, GDAL (>= 3.0.2), GEOS (>= 3.8.0), PROJ (>=
6.2.1)"
"ecochange","2.2","GDAL binaries"
"EcoDiet","1.0.0","JAGS (>= 4.3)"
"econetwork","0.6.0","GNU GSL"
"ECOSolveR","0.5.4","GNU make"
"edeR","1.0.0","Java Runtime Environment"
"eDMA","1.5-3","Requires the OpenMP library for parallel computing.
If the OpenMP library is not available, the code is executed
sequentially and a warning is printed."
"eggCounts","2.3-1","GNU make"
"einsum","0.1.0","C++11"
"elexr","1.0","Python (>= 2.7 or >= 3.5) and elex package"
"elfDistr","1.0.0","C++11"
"elliptic","1.4-0","pari/gp"
"emayili","0.6.1","The function render() requires Pandoc
(http://pandoc.org)."
"EMMIXgene","0.1.3","C++11"
"emstreeR","2.2.2","C++11 compiler."
"entropart","1.6-8","pandoc"
"eplusr","0.14.2","EnergyPlus (>= 8.3, optional)
(<https://energyplus.net>); udunits2"
"equatags","0.1.1","Node.js"
"ergm","4.1.2","OpenMPI"
"eseis","0.5.0","gipptools dataselect"
"ess","1.1.2","C++11"
"evaluator","0.4.3","pandoc"
"EvidenceSynthesis","0.2.3","Java version 8 or higher (https://www.java.com/)"
"EviewsR","0.1.0","EViews (>= 8)"
"exactextractr","0.7.1","GEOS (>= 3.5.0)"
"excerptr","2.0.1","Python (>= 3.0.0)"
"exif","0.1.0","C++11"
"exifr","0.3.2","Perl"
"exiftoolr","0.1.5","Perl"
"extraDistr","1.9.1","C++11"
"extraTrees","1.0.5","Java (>= 1.6)"
"extRatum","1.0.4","C++11, GDAL (>= 2.0.1), GEOS (>= 3.4.0), PROJ (>=
4.8.0)"
"ezknitr","0.6","pandoc with https support"
"facilitation","0.5.2","C++11"
"FarmTest","2.2.0","C++11"
"farver","2.1.0","C++11"
"fastcmh","0.2.7","C++11"
"fastdigest","0.6-3","C++11"
"fasterize","1.0.3","C++11"
"FastHCS","0.0.7","C++11"
"fastkmedoids","1.2","C++11"
"FastPCS","0.1.3","C++11"
"FastRCS","0.0.8","C++11"
"fastText","1.0.1","Generally, fastText builds on modern Mac OS and
Linux distributions. Since it uses some C++11 features, it
requires a compiler with good C++11 support. These include a
(g++-4.7.2 or newer) or a (clang-3.3 or newer)."
"FaultTree","0.99.5","C++11"
"fcci","1.0.0","C++11"
"FCPS","1.3.0","Pandoc (>= 1.12.3)"
"fdaPDE","1.0-9","C++11"
"fdasrvf","1.9.7","C++11"
"fddm","0.4-0","C++11"
"feamiR","0.1.0","Python (>=3.6) sreformat patman"
"feather","0.3.5","little-endian platform"
"FeatureHashing","0.9.1.4","C++11"
"FFD","1.0-8","BWidget"
"fftw","1.0-6","fftw3 (>= 3.1.2)"
"fftwtools","0.9-11","fftw3 (libfftw3-dev (deb), or fftw-devel (rpm))"
"findInFiles","0.3.0","grep"
"findInGit","0.1.1","grep, git"
"fishflux","0.0.1.5","GNU make"
"fishMod","0.29","C++11"
"FishResp","1.1.0","Display resolution >= 1280x800; RAM >= 4GB"
"FIT","0.0.6","C++11"
"fitbitViz","1.0.2","update: apt-get -y update (deb)"
"fixest","0.10.0","C++11"
"flan","0.9","GNU GSL"
"FlexReg","1.0","GNU make"
"flsa","1.5.2","C++11"
"FLSSS","8.6.6","GNU make"
"fmf","1.1.1","libarmadillo: apt-get install -y libarmadillo-dev
(deb), libblas: apt-get install -y libblas-dev (deb),
liblapack: apt-get install -y liblapack-dev (deb),
libarpack++2: apt-get install -y libarpack++2-dev (deb),
gfortran: apt-get install -y gfortran (deb)"
"foieGras","0.7-6","GDAL (>= 2.4.2), GEOS (>= 3.7.0), PROJ (>= 5.2.0),
pandoc (>=2.7.3)"
"forensim","4.3","Tcl/Tk package TkTable."
"forImage","0.1.0","Python >=3.5, numpy ( >= 1.18.1), imutils ( >=
0.5.3), scipy ( >= 1.4.1), pandas ( >= 1.0.2), Pillow ( >=
7.0.0), opencv ( >= 4.1.2)"
"fplot","1.0.0","C++11"
"fracture","0.1.3","C++11"
"freealg","1.0-2","C++11"
"freesurfer","1.6.8","FSL, Freesurfer
(https://surfer.nmr.mgh.harvard.edu/)"
"frequency","0.4.1","pandoc (>= 1.12.3) - http://pandoc.org"
"fRLR","1.2.1","GNU Scientific Library (GSL). Note: users should
have GSL installed."
"fs","1.5.0","GNU make"
"fsdaR","0.4-9","(license-free) MATLAB Runtime (MCR) V 9.6, Java
(>=8)"
"FSelectorRcpp","0.3.8","C++11"
"FSInteract","0.1.2","C++11"
"fslr","2.24.1","FSL"
"fst","0.9.4","little-endian platform"
"fstcore","0.9.6","little-endian platform"
"ftExtra","0.2.0","pandoc (>= 2.0.6) - http://pandoc.org"
"fuzzywuzzyR","1.0.5","Python (>= 2.4), difflib, fuzzywuzzy ( >=0.15.0 ),
python-Levenshtein ( >=0.12.0 ). Detailed installation
instructions for each operating system can be found in the
README file."
"fwsim","0.3.4","C++11"
"gaselect","1.0.9","C++11"
"gastempt","0.5.4","GNU make"
"gbp","0.1.0.4","C++11, GNU make"
"gcbd","0.2.6","Debian or Ubuntu system with access to Goto Blas,
Intel MKL, Atlas development build as well as a Nvidia GPU with
CUDA support"
"GCPM","1.2.2","Windows, Linux, OS X"
"gdalcubes","0.4.1","cxx11, gdal, libgdal, libproj, netcdf4"
"gdalUtils","2.0.3.2","GDAL binaries"
"gdata","2.18.0","perl (>= 5.10.0)"
"gdtools","0.2.3","cairo, freetype2, fontconfig"
"GeneralizedUmatrix","1.2.2","C++11, pandoc (>=1.12.3, needed for vignettes)"
"genie","1.0.5","OpenMP, C++11"
"genieclust","1.0.0","OpenMP, C++11"
"genlogis","1.0.0","RStudio - http://www.rstudio.com/products/rstudio/"
"geno2proteo","0.0.3","Perl (>= 2.0.0)"
"GenomeAdmixR","2.1.1","C++14"
"genotypeR","0.0.1.8","The SequenomMarkers() marker design function
requires 'vcftools' and 'Perl' on 'windows', and, in addition,
'awk' and 'bash' on '*nix'."
"geocmeans","0.2.0","C++11"
"GeoFIS","1.0.1","GNU make, C++14, gmp, mpfr"
"geojsonR","1.1.0","libarmadillo: apt-get install -y libarmadillo-dev
(deb)"
"geojsonsf","2.0.1","C++11"
"geometr","0.2.10","C++11"
"geometries","0.2.0","C++11"
"GeoMongo","1.0.3","MongoDB (>= 3.4.0), Python (>= 2.7). Installation
instructions and links can be found in the README file."
"geouy","0.2.5","C++11, GDAL (>= 3.0.2), GEOS (>= 3.8.0), PROJ (>=
6.2.1)"
"gert","1.4.1","libgit2 (>= 0.26): libgit2-devel (rpm) or
libgit2-dev (deb)"
"GetoptLong","1.0.5","Perl, Getopt::Long"
"gfilmm","2.0.4","C++11"
"gfilogisreg","1.0.1","C++11, gmp"
"gfpop","1.0.3","C++11"
"GGally","2.1.2","openssl"
"ggdemetra","0.2.2","Java SE 8 or higher"
"GGEBiplotGUI","1.0-9","BWidget"
"ggExtra","0.9","pandoc with https support"
"gghilbertstrings","0.3.3","C++11"
"ggip","0.2.0","C++11"
"ggiraph","0.7.10","C++11, libpng"
"ggquickeda","0.2.1","pandoc with https support"
"gifski","1.4.3-1","Cargo (rustc package manager)"
"git2r","0.28.0","By default, git2r uses a system installation of the
libgit2 headers and library. However, if a system installation
is not available, builds and uses a bundled version of the
libgit2 source. zlib headers and library. OpenSSL headers and
library (non-macOS). LibSSH2 (optional on non-Windows) to
enable the SSH transport."
"gitcreds","0.1.1","git"
"gkmSVM","0.81.0","C++11"
"glmmfields","0.1.4","GNU make"
"glmmTMB","1.1.2.3","GNU make"
"glmulti","1.0.8","Java (>= 5.0)"
"glow","0.10.1","C++11"
"glpkAPI","1.3.2","GLPK (>= 4.42)"
"gm","1.0.2","MuseScore - https://musescore.org/"
"gMCP","0.8-15","Java (>= 5.0)"
"GMKMcharlie","1.1.5","GNU make"
"gmp","0.6-2","gmp (>= 4.2.3)"
"gmt","2.0.2","gmt"
"gnn","0.0-3","TensorFlow (https://www.tensorflow.org/)"
"googlePolylines","0.8.2","C++14"
"govdown","0.10.1","pandoc (>= 2.0) - http://pandoc.org"
"GPBayes","0.1.0-2.1","GNU Scientific Library version >= 2.5"
"gpboost","0.6.7","C++11"
"GPCMlasso","0.1-5","C++11"
"gpg","1.2.3","GPGME: libgpgme-dev / libgpgme11-dev (deb),
gpgme-devel (rpm) gpgme (brew). On Linux 'haveged' is
recommended for generating entropy when using the GPG key
generator."
"GRANBase","2.6.20","svn, git"
"GreedyExperimentalDesign","1.4","Java (>= 7.0)"
"GreedyExperimentalDesignJARs","1.0","Java (>= 7.0)"
"greta","0.3.1","Python (>= 2.7.0) with header files and shared
library; TensorFlow (v1.14; https://www.tensorflow.org/);
TensorFlow Probability (v0.7.0;
https://www.tensorflow.org/probability/)"
"gretlR","0.1.0","gretl (>= 1.9.4)"
"grf","2.0.2","GNU make"
"gridDebug","0.5-1","graphviz"
"gridGraphviz","0.3","graphviz"
"gridtext","0.1.4","C++11"
"grImport","0.9-4","ghostscript"
"gsl","2.1-7","Gnu Scientific Library version >= 2.1"
"gslnls","1.0.2","GSL (>= 2.2)"
"gsynth","1.2.1","A C++11 compiler."
"gtfsrouter","0.0.5","C++11"
"GWmodel","2.2-8","GNU make"
"GWnnegPCA","0.0.4","C++11, GDAL (>= 2.0.1), GEOS (>= 3.4.0), PROJ (>=
4.8.0)"
"GWpcor","0.1.6","C++11, GDAL (>= 2.0.1), GEOS (>= 3.4.0), PROJ (>=
4.8.0)"
"gwsem","2.1.2","GNU make"
"h2o","3.34.0.3","Java (>= 8, < 16)"
"h2o4gpu","0.3.3","Python (>= 3.6) with header files and shared
library; H2O4GPU (https://github.com/h2oai/h2o4gpu)"
"hadron","3.1.2","Gnu Scientific Library version >= 1.8"
"haven","2.4.3","GNU make, C++11, zlib"
"hBayesDM","1.1.1","GNU make"
"hdf5r","1.3.4","HDF5 (>= 1.8.13)"
"hdfqlr","0.6-2","HDFql (>= 2.1.0)"
"HDPenReg","0.94.7","GNU make"
"helloJavaWorld","0.0-9","Java (>= 1.5)"
"hesim","0.5.1","C++11"
"heuristicsmineR","0.2.5","C++11"
"HHG","2.3.4","C++11"
"HiClimR","2.2.0","NetCDF (>= 4.1)"
"HierDpart","1.5.0","GNU make"
"hipread","0.2.2","C++11"
